text	url
King Richard ★★★ It's been Will Smith's raison d'être for the last 20 years to win an Academy Award. In 2022, he's finally going to take home an Oscar for his excellent performance as the father of tennis superstars Venus &amp; Serena Williams in #ReinaldoMarcusGreen's bio-drama. https://t.co/akwdXBuNCC	https://twitter.com/i/web/status/1468719469296033793
Pay for our legit services in; #Econometrics #Math #Physics Biology #Essaydue #Paperwrite #Engineering #English #Casestudy #essay #homework #Onlineclass  #Religion #KingRichard #Assignment  #Chemistry #history #WomenWhoCode  #100DaysOfCode @essay_help_pay  #UK #SaudiArabia #UAE	https://twitter.com/i/web/status/1468719258460905476
just realized jon bernthal THE FUCKING PUNISHER plays rick macci in king richard. dude is such a talented actor . no wonder i found him hot	https://twitter.com/i/web/status/1468718698244435968
Watched King Richard today thanks to @Ki_Janay	https://twitter.com/i/web/status/1468718575091339264
Will Smith Admitted One Essential Truth During ‘King Richard’ Interview: ‘Girls Are Really Different Than Boys’ | The Daily Wire https://t.co/zSVIB6bBKU	https://twitter.com/i/web/status/1468718097762766853
White people are genuinely stupid yunno. The movie is called KING RICHARD, of course it's about her insufferable dad. Idiot. https://t.co/GamIZUZYFW	https://twitter.com/i/web/status/1468715176962654210
God Bless the King Richard Tavern https://t.co/sZIDv5jyTt	https://twitter.com/i/web/status/1468715023245713412
2021 AFI Movies of the Year #AFI #AmericanFilm #AmericanFilmInstitute #AFIAWARDS #2021MovieAwards #CODA #DontLookUp #Dune #KingRichard #LicoricePizza #NightmareAlley #ThePoweroftheDog #ticktickBOOM #TheTragedyofMacbeth #WestSideStory https://t.co/gYgRBevm0t	https://twitter.com/i/web/status/1468714915695321091
Need to watch the King Richard movie later	https://twitter.com/i/web/status/1468714015937417218
👏🏻👏🏻👏🏻👏🏻👏🏻 African American Film Critics Top 10 Films Led By ‘The Harder They Fall’, ‘Respect’, ‘King Richard’ https://t.co/jv87k8deEH via @Deadline	https://twitter.com/i/web/status/1468713336707637252
"Hey Friends!  Tonight in my Discord I'm having a showing of the film I worked on last year, ""King Richard.""  Maybe a little behind the scenes commentary.  5pm Pacific showtime!  Bring your own popcorn!  🍿📽️🎞️ https://t.co/xzfxwLT59d"	https://twitter.com/i/web/status/1468712142303944709
Damn, them girls are good! Gotta love a sports biopic. #KingRichard is awesome.	https://twitter.com/i/web/status/1468712119243792387
The American Film Institute has crowned #KingRichard one of the top 10 films of the year. Congratulations to our cast and crew family! #AFIAWARDS #FYC https://t.co/pQyXK4ohEo	https://twitter.com/i/web/status/1468711549455908865
Absolutely blown away by @KingRichardFilm. So inspirational and moving. The entire cast are sensational and surely @willsmith will take home the Oscar for Best Actor! Hugely deserved #KingRichard	https://twitter.com/i/web/status/1468711103370874883
Jon was tremendous in King Richard https://t.co/Z71d2SJFt6	https://twitter.com/i/web/status/1468710840027258882
AFI’s Top Films of 2021   CODA  Don’t Look Up Dune King Richard Licorice Pizza Nightmare Alley The Power of the Dog Tick, Tick… Boom! The Tragedy of Macbeth West Side Story https://t.co/y5AqHSORmE	https://twitter.com/i/web/status/1468710195673055232
Peli #4 del Award Season   King Richard en TV Time https://t.co/H11C7mGg5T https://t.co/S1gra8JTEp	https://twitter.com/i/web/status/1468709675784982533
The American Film Institute released its annual top 10 films list and 2021's version includes Dune, West Side Story, King Richard, and more.  https://t.co/cn46pwXX4k https://t.co/NqLEXJyyad	https://twitter.com/i/web/status/1468709646559064067
How do you follow Will Smith in the snow?  You follow the fresh prints. #JokeoftheDay #Willsmith #KingRichard #Iwillseemyselfout #FollowMe https://t.co/zJ8jl9ZwoK	https://twitter.com/i/web/status/1468709516346863624
King Richard is such a beautiful movie. Makes me just want to marry right because this fatherhood no be joke o	https://twitter.com/i/web/status/1468709018554314753
Somebody go watch king richard with me.	https://twitter.com/i/web/status/1468708973951995911
loved seeing this recreated in #KingRichard https://t.co/Sx6LmEL2l5	https://twitter.com/i/web/status/1468707975783141386
king richard was right, that open stance really works 😂	https://twitter.com/i/web/status/1468707406632787971
"""King Richard"" is an excellent movie. Will Smith, Aunjanue Ellis, and the actors who play Venus, Serena, and their sisters knocked it out of the park. A metaphor from the wrong sport, I know, but still true."	https://twitter.com/i/web/status/1468706567407210499
#KingRichard(G) has been crowned Certified Fresh by Rotten Tomatoes. Experience the hype and inspiration! 👑 Get your tickets now: https://t.co/FnkMaru4Hn https://t.co/pi2nVfL91d	https://twitter.com/i/web/status/1468705587391340544
Finna see what King Richard about	https://twitter.com/i/web/status/1468703968670932992
We're back this week with a review of the new Will Smith tennis flick, #KingRichard!  https://t.co/c4D35zo0pT https://t.co/PunQJUdzUH	https://twitter.com/i/web/status/1468703003393859585
#KingRichard was actually pretty decent of a flick.. but will smith aint winning an oscar. Sorry #AcademyAwards	https://twitter.com/i/web/status/1468702952516833283
I'm going to tell people this list has 4 Shakespeare movies on it. Macbeth, Richard III (King Richard), Romeo and Juliet (West Side) and Two Gentlemen of Verona (Power of the Dog). Unless tick tick BOOM can be a stand in for Henry VIII? :) https://t.co/7lS6rIG8XO	https://twitter.com/i/web/status/1468700643678375938
Don't matter the platform, will always shout out the people who gave me a chance!   Love my @theaafca people and love me some @gilrobertson   https://t.co/SJ2M6WprUd	https://twitter.com/i/web/status/1468700372202135552
The #AAFCA’s Top 10 Films of the Year:  1. The Harder They Fall 2. King Richard 3. Respect  4. The Tragedy of Macbeth  5. Passing  6. Belfast  7. Who We Are: A Chronicle of Racism in America  8. House of Gucci ♥️♥️♥️ 9. The Power of the Dog 10. West Side Story	https://twitter.com/i/web/status/1468699989001916417
Me watching King Richard, knowing damn well that this is about Serena Williams and Venus Williams, yet still being shocked and prideful at the end. Like wow they really did everything they said they would do. https://t.co/912948f8xt	https://twitter.com/i/web/status/1468698851158671370
How we speak about and depict black men on screen and on social media matters.   Catch the full #WatchGodWork episode “King Richard &amp; Redeeming the Image of Black Fathers” here: https://t.co/hq9pbXbSf5 https://t.co/gF97fMGIDf	https://twitter.com/i/web/status/1468698409456607235
Congrats to @AFI's top films of 2021, especially KING RICHARD, a 2018 Black List script by Zach Baylin!  CODA  DON'T LOOK UP DUNE KING RICHARD LICORICE PIZZA NIGHTMARE ALLEY THE POWER OF THE DOG TICK, TICK... BOOM! THE TRAGEDY OF MACBETH WEST SIDE STORY https://t.co/69vgQwtOSp	https://twitter.com/i/web/status/1468698182272094225
Just finished watching #kingrichard and two scriptures came to mind  1. Habakkuk 2:2-3  2. Mark 11:23  GOD you are FAITHFUL! Wow!🙏🏾❤️	https://twitter.com/i/web/status/1468696714936737798
Today I got that kid-on-xmas-day feeling. Like, it's a holiday and we sitting in this feeling ALL DAY.   Except it's just a Wednesday (my day off) and I finished KING RICHARD and now headin' over to SWAGGER to catch up. ❤🖤💚	https://twitter.com/i/web/status/1468696123489542158
Have heard be alive by Beyoncé about a hundred times?     Still got so many chills hearing it at the end of king Richard. How beautiful.	https://twitter.com/i/web/status/1468695503139270660
This man, he is an actor in his own league #WillSmith #KingRichard	https://twitter.com/i/web/status/1468695247484076044
Just watched #KingRichard  I’m all tore up with happy tears.	https://twitter.com/i/web/status/1468695063433822212
"Musical ""West Side Story,"" sci-fi epic ""Dune,"" and ""King Richard,"" the biopic about the father of tennis champions Serena and Venus Williams, were among the top 10 movies of 2021 as chosen on Wednesday by the American Film Institute... https://t.co/kGJREmQy4L"	https://twitter.com/i/web/status/1468694381377073161
#Duna, foi selecionado como um dos 10 melhores filmes do ano pelo @AmericanFilm  #Dune #DuneMovie #AFIAwards 🔸Duna 🔹Coda 🔹Don’t Look Up 🔹King Richard 🔹Licorice Pizza 🔹Nightmare Alley 🔹The Power of the Dog 🔹tick, tick… BOOM! 🔹The Tragedy of Macbeth 🔹West Side Story https://t.co/cxK7g3dxgL	https://twitter.com/i/web/status/1468694376062795776
feeling kinda down rn https://t.co/CTXoaDD99d	https://twitter.com/i/web/status/1468694284148768768
I totally agree!!! You hear abt them both but mostly Serena and Hunny her sister did what needed to be done first 👏🏽 #KingRichard https://t.co/QtlHfZndlK	https://twitter.com/i/web/status/1468692769535311882
Wait a minute... I love #TennisFilms! 🎾 I have seen these four and I liked them a lot! They're TERRIFIC! •••••••••••••••••••••••••••••••••••• #Wimbledon | #BorgVsMcEnroe | #BattleOfTheSexes | #KingRichard | #Tennis https://t.co/HpXyfHMmDU	https://twitter.com/i/web/status/1468692351791030279
#KingRichard was really good!! I’m ready for it to warm up so I can go play some tennis 😭	https://twitter.com/i/web/status/1468692050107416578
Ima watch this King Richard movie 1 of these days. I just don’t know when	https://twitter.com/i/web/status/1468690932690206734
King Richard II can destroy the Lords Appellant, but can't protect himself against future threats. Read the first two books of THE PLANTAGENET LEGACY: https://t.co/cpx0C8fH4p / #histfic https://t.co/CTyG4vAbwy	https://twitter.com/i/web/status/1468690360402690052
Congratulations to #ChiFilmFest sections DUNE, KING RICHARD, and THE POWER OF THE DOG! https://t.co/Kfgdf2pjon	https://twitter.com/i/web/status/1468689702349905924
On this episode of The Levels Podcast @AlexTheHost and the Levels Crew #discuss and #review @MarvelStudios @disneyplus series #Hawkeye and they #review #KingRichard! https://t.co/rdlqUhSW9x	https://twitter.com/i/web/status/1468689458501464067
“The most strongest, the most powerful, the most dangerous creature on this whole earth is: a (woman) who knows how to think. Ain’t nothing she can’t do” 🧏🏻‍♀️  #KingRichard https://t.co/uQVHVHijjW	https://twitter.com/i/web/status/1468689370274222088
